1000 rpm: 80.9 Nm, 59.7 lb-ft, 8.5 kW, 11.5 PS, 11.4 hp
1100 rpm: 91.9 Nm, 67.8 lb-ft, 10.6 kW, 14.4 PS, 14.2 hp
1200 rpm: 101.1 Nm, 74.6 lb-ft, 12.7 kW, 17.3 PS, 17 hp
1300 rpm: 108.9 Nm, 80.3 lb-ft, 14.8 kW, 20.2 PS, 19.9 hp
1400 rpm: 115.6 Nm, 85.3 lb-ft, 16.9 kW, 23 PS, 22.7 hp
1500 rpm: 121.3 Nm, 89.5 lb-ft, 19.1 kW, 25.9 PS, 25.5 hp
1600 rpm: 126.4 Nm, 93.2 lb-ft, 21.2 kW, 28.8 PS, 28.4 hp
1700 rpm: 130.8 Nm, 96.5 lb-ft, 23.3 kW, 31.7 PS, 31.2 hp
1800 rpm: 134.8 Nm, 99.4 lb-ft, 25.4 kW, 34.6 PS, 34 hp
1900 rpm: 138.4 Nm, 102.1 lb-ft, 27.5 kW, 37.5 PS, 36.9 hp
2000 rpm: 141.6 Nm, 104.4 lb-ft, 29.7 kW, 40.3 PS, 39.7 hp
2100 rpm: 144.4 Nm, 106.5 lb-ft, 31.8 kW, 43.2 PS, 42.6 hp
2200 rpm: 147.1 Nm, 108.5 lb-ft, 33.9 kW, 46.1 PS, 45.4 hp
2300 rpm: 149.5 Nm, 110.3 lb-ft, 36 kW, 49 PS, 48.3 hp
2400 rpm: 151.7 Nm, 111.9 lb-ft, 38.1 kW, 51.9 PS, 51.1 hp
2500 rpm: 153.7 Nm, 113.3 lb-ft, 40.2 kW, 54.7 PS, 53.9 hp
2600 rpm: 155.6 Nm, 114.7 lb-ft, 42.4 kW, 57.6 PS, 56.8 hp
2700 rpm: 157.3 Nm, 116 lb-ft, 44.5 kW, 60.5 PS, 59.6 hp
2800 rpm: 158.9 Nm, 117.2 lb-ft, 46.6 kW, 63.4 PS, 62.4 hp
2900 rpm: 160.4 Nm, 118.3 lb-ft, 48.7 kW, 66.2 PS, 65.3 hp
3000 rpm: 161.8 Nm, 119.3 lb-ft, 50.8 kW, 69.1 PS, 68.1 hp
3100 rpm: 163.1 Nm, 120.3 lb-ft, 52.9 kW, 72 PS, 71 hp
3200 rpm: 164.3 Nm, 121.2 lb-ft, 55.1 kW, 74.9 PS, 73.8 hp
3300 rpm: 165.4 Nm, 122 lb-ft, 57.2 kW, 77.7 PS, 76.6 hp
3400 rpm: 166.5 Nm, 122.8 lb-ft, 59.3 kW, 80.6 PS, 79.4 hp
3500 rpm: 167.6 Nm, 123.6 lb-ft, 61.4 kW, 83.5 PS, 82.3 hp
3600 rpm: 168.5 Nm, 124.3 lb-ft, 63.5 kW, 86.4 PS, 85.1 hp
3700 rpm: 169.4 Nm, 124.9 lb-ft, 65.6 kW, 89.3 PS, 88 hp
3800 rpm: 170.3 Nm, 125.6 lb-ft, 67.8 kW, 92.2 PS, 90.8 hp
3900 rpm: 171.1 Nm, 126.2 lb-ft, 69.9 kW, 95 PS, 93.6 hp
4000 rpm: 171.9 Nm, 126.8 lb-ft, 72 kW, 97.9 PS, 96.5 hp
4100 rpm: 172.6 Nm, 127.3 lb-ft, 74.1 kW, 100.8 PS, 99.3 hp
